全国地方公共団体コード,ID,地方公共団体名,名称,名称_カナ,名称_英語,所在地_全国地方公共団体コード,町字ID,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),設置位置,緯度,経度,高度の種別,高度の値,男性トイレ総数,男性トイレ数（小便器）,男性トイレ数（和式）,男性トイレ数（洋式）,女性トイレ総数,女性トイレ数（和式）,女性トイレ数（洋式）,男女共用トイレ総数,男女共用トイレ数（和式）,男女共用トイレ数（洋式）,バリアフリートイレ数,車椅子使用者用トイレ有無,乳幼児用設備設置トイレ有無,オストメイト設置トイレ有無,利用開始時間,利用終了時間,利用可能時間特記事項,画像,画像_ライセンス,備考
132098,,町田市,相原中央公園（管理棟内）,,,132098,,東京都町田市相原町2018,東京都,町田市,相原町,2018,,,35.60931825264583,139.31966879143175,,,,,,,,,,,,,,有,有,無,8:30,21:00,,,,
132098,,町田市,相原中央公園（作業棟側）,,,132098,,東京都町田市相原町2018,東京都,町田市,相原町,2018,,,35.60951414617603,139.31980169199016,,,,,,,,,,,,,,有,有,無,8:00,21:00,,,,
132098,,町田市,相原中央公園（芝生広場）,,,132098,,東京都町田市相原町2018,東京都,町田市,相原町,2018,,,35.60933497,139.31966461162864,,,,,,,,,,,,,,有,有,有,6:00,21:00,ベビーチェア、多目的シート,,,
132098,,町田市,Nature Factory 東京町田,,,132098,,東京都町田市相原町5307-2,東京都,町田市,相原町,7-Feb,,,35.61228119569287,139.27658016413525,,,,,,,,,,,,,,有,無,無,8:30,17:15,定休日：第１・第３火曜日及び祝日の翌日、3月26日～4月7日、7月21日～8月31日は無休,,,
132098,,町田市,堺市民センター,,,132098,,東京都町田市相原町795-1,東京都,町田市,相原町,795-1,,,35.60430536160276,139.33333184597038,,,,,,,,,,,,,,有,有,有,8:00,22:00,定休日：年末年始(12/29～1/3)。ベビーチェア,,,
132098,,町田市,尾根緑道内第２便所,,,132098,,東京都町田市小山が丘1-11,東京都,町田市,小山が丘,1月11日,,,35.59763648938174,139.3871570163126,,,,,,,,,,,,,,有,有,無,8:00,17:30,,,,
132098,,町田市,小山上沼公園,,,132098,,東京都町田市小山が丘3-1-1,東京都,町田市,小山が丘,2003/1/1,,,35.598931498217354,139.3805600818297,,,,,,,,,,,,,,有,有,無,8:00,21:00,,,,
132098,,町田市,三ツ目山公園,,,132098,,東京都町田市小山が丘5-38,東京都,町田市,小山が丘,5-38,,,35.60590504532077,139.3540711891878,,,,,,,,,,,,,,有,有,無,8:00,17:30,,,,
132098,,町田市,小山白山公園,,,132098,,東京都町田市小山が丘5-4,東京都,町田市,小山が丘,5月4日,,,35.60279466522382,139.36444507853784,,,,,,,,,,,,,,有,有,無,8:00,17:30,,,,
132098,,町田市,小山市民センター,,,132098,,東京都町田市小山町2507-1,東京都,町田市,小山町,7-Jan,,,35.597148350109826,139.3690200192294,,,,,,,,,,,,,,有,有,有,8:30,22:00,定休日：12/29～1/3。ベビーチェア・多目的シート,,,
132098,,町田市,谷戸池公園,,,132098,,東京都町田市小山田桜台1-19-1,東京都,町田市,小山田桜台,1-19-1,,,35.58815339755176,139.40188000912025,,,,,,,,,,,,,,有,有,無,8:00,17:30,一般トイレは24時間使用可,,,
132098,,町田市,上小山田町バイオトイレ,,,132098,,東京都町田市上小山田町1851-2内,東京都,町田市,上小山田町,1851-2内,,,35.60206976506845,139.3955589876306,,,,,,,,,,,,,,無,無,無,,,3月～10月 8:00～17:00、11月～2月 8:00～16:00,,,
132098,,町田市,上小山田コミュニティセンター,,,132098,,東京都町田市上小山田町2616-2,東京都,町田市,上小山田町,16-Feb,,,35.59484071455449,139.3983522304679,,,,,,,,,,,,,,有,無,無,9:00,22:00,貸出施設利用者がいる場合のみ開放。定休日：第３月曜日・年末年始,,,
132098,,町田市,木曽森野コミュニティセンター,,,132098,,東京都町田市木曽東1-2,東京都,町田市,木曽東,1月2日,,,35.555130148208555,139.42857978342906,,,,,,,,,,,,,,有,有,無,8:30,22:00,定休日：第2水曜日、おむつ交換用のベビーベッド,,,
132098,,町田市,教育センター,,,132098,,東京都町田市木曽東3-1-3,東京都,町田市,木曽東,2003/1/3,,,35.55972889,139.42403792609363,,,,,,,,,,,,,,有,有,無,8:30,17:00,定休日：土・日・祝日・年末年始。ベビーベッド、ベビーチェア,,,
132098,,町田市,下小山田山王林公園,,,132098,,東京都町田市下小山田町2805,東京都,町田市,下小山田町,2805,,,35.59225855393786,139.40745946332868,,,,,,,,,,,,,,無,有,無,8:00,17:30,,,,
132098,,町田市,町田市バイオエネルギーセンター,,,132098,,東京都町田市下小山田町3160,東京都,町田市,下小山田町,3160,,,35.587772575684376,139.41094475121952,,,,,,,,,,,,,,有,有,有,8:15,17:00,定休日：年末年始。ベビーチェア、ベビーベッド、大型ベッド,,,
132098,,町田市,土木・公園サービスセンター,,,132098,,東京都町田市下小山田町3267-4,東京都,町田市,下小山田町,Apr-67,,,35.585288113091565,139.40909848051618,,,,,,,,,,,,,,有,無,無,8:30,17:00,定休日：土・日・祝日・年末年始,,,
132098,,町田市,忠生スポーツ公園,,,132098,,東京都町田市下小山田町3337-1,東京都,町田市,下小山田町,Jan-37,,,35.597071426721136,139.41474255041103,,,,,,,,,,,,,,有,有,有,6:00,21:00,ベビーチェア、大型ベッド,,,
132098,,町田市,下小山田町バイオトイレ,,,132098,,東京都町田市下小山田町1200-2内,東京都,町田市,下小山田町,1200-2内,,,35.59720407597372,139.42238034642554,,,,,,,,,,,,,,無,無,無,,,3月～10月 8:00～17:00、11月～2月 8:00～16:00,,,
132098,,町田市,町田市立室内プール,,,132098,,東京都町田市図師町199-1,東京都,町田市,図師町,199-1,,,35.58639265518948,139.41400350136175,,,,,,,,,,,,,,有,有,有,9:00,21:00,定休日：第1・第3月曜日（祝日の場合は翌日）※但し7月21日から8月31日までは無休。ベビーチェア、オムツ替え台,,,
132098,,町田市,室内プール（温浴施設棟）,,,132098,,東京都町田市図師町199-1,東京都,町田市,図師町,199-1,,,35.58630764756984,139.41381480034843,,,,,,,,,,,,,,有,有,有,10:00,21:00,定休日：第1・第3月曜日（祝日の場合は翌日）※但し7月21日から8月31日までは無休。ベビーチェア,,,
132098,,町田市,忠生公園（忠生口トイレ）,,,132098,,東京都町田市忠生1-3-1,東京都,町田市,忠生,2001/3/1,,,35.573721664836334,139.42261005770862,,,,,,,,,,,,,,有,有,無,6:00,18:00,5月～8月 6:00～19:00,,,
